-22,-4,-8,-5,-7,-10,-9,-9,-8,-10,-8,-8,-9,-22,-14,-9,-8,-5,-2,-11,-7,-12,-14,-9,-15,-12,-5,-11,-14,-13,-14,-14,-8,-6,-13,-8,-10,-12,-10,
-22,-4,-7,-5,-7,-10,-9,-9,-8,-10,-9,-8,-10,-20,-14,-9,-9,-7,-4,-11,-6,-12,-12,-10,-14,-11,-5,-7,-13,-14,-14,-17,-7,-8,-13,-6,-11,-12,-8,
-22,-4,-8,-5,-7,-9,-9,-9,-9,-10,-8,-9,-10,-16,-16,-8,-11,-9,-4,-11,-4,-13,-9,-10,-14,-11,-5,-9,-9,-17,-14,-13,-10,-9,-14,-6,-11,-10,-6,
-23,-4,-8,-5,-7,-9,-9,-9,-9,-10,-8,-9,-10,-14,-16,-6,-14,-11,-4,-11,-4,-14,-7,-11,-13,-9,-6,-14,-5,-19,-14,-9,-14,-11,-12,-7,-11,-8,-7,
-23,-4,-8,-5,-6,-9,-8,-9,-9,-11,-8,-9,-9,-11,-17,-4,-17,-12,-4,-11,-5,-14,-6,-11,-13,-7,-3,-18,-2,-16,-15,-9,-14,-13,-10,-7,-13,-8,-6,
-23,-4,-7,-5,-6,-9,-9,-8,-9,-10,-9,-9,-9,-8,-20,-2,-17,-13,-6,-12,-7,-14,-5,-11,-13,-6,-3,-21,-1,-11,-14,-12,-13,-14,-10,-8,-14,-8,-9,
-22,-5,-7,-6,-7,-8,-9,-8,-9,-10,-8,-9,-9,-8,-23,1,-16,-14,-6,-12,-7,-12,-4,-13,-12,-5,-9,-20,-5,-8,-13,-12,-11,-14,-8,-10,-14,-9,-10,
-23,-5,-6,-6,-7,-8,-9,-8,-9,-9,-8,-9,-9,-7,-26,2,-17,-14,-5,-12,-9,-12,-4,-15,-11,-5,-12,-14,-12,-8,-9,-11,-8,-14,-8,-13,-12,-11,-13,
-22,-6,-6,-6,-7,-8,-9,-8,-9,-9,-9,-9,-8,-7,-27,0,-17,-14,-4,-12,-9,-10,-5,-14,-10,-7,-13,-9,-18,-11,-8,-11,-6,-13,-7,-15,-10,-10,-14,
-22,-7,-5,-6,-7,-9,-9,-8,-9,-9,-8,-9,-9,-9,-26,-2,-16,-14,-4,-10,-10,-10,-6,-12,-10,-8,-16,-7,-20,-11,-8,-10,-6,-11,-8,-13,-8,-8,-16,
-22,-7,-5,-6,-7,-8,-9,-8,-9,-9,-9,-9,-9,-10,-24,-5,-16,-13,-5,-9,-11,-10,-7,-10,-9,-9,-13,-6,-20,-12,-11,-8,-10,-10,-12,-11,-4,-7,-14,
-22,-7,-5,-7,-7,-8,-9,-8,-9,-9,-9,-9,-8,-11,-23,-7,-13,-12,-6,-10,-10,-10,-8,-9,-8,-10,-14,-7,-15,-8,-10,-11,-14,-9,-13,-13,-6,-7,-12,
-22,-8,-5,-7,-8,-7,-9,-8,-9,-9,-9,-9,-9,-12,-19,-9,-11,-12,-8,-11,-9,-9,-9,-8,-7,-12,-8,-3,-13,-3,-11,-19,-14,-9,-11,-14,-8,-11,-11,
-23,-8,-5,-7,-8,-7,-8,-8,-9,-9,-8,-9,-9,-10,-12,-12,-9,-12,-12,-11,-8,-10,-11,-7,-9,-12,-8,3,-13,0,-10,-27,-13,-8,-12,-14,-10,-15,-13,
-22,-8,-5,-7,-8,-7,-9,-8,-9,-8,-8,-8,-8,-9,-6,-16,-5,-11,-16,-11,-8,-12,-12,-7,-9,-12,-9,6,-17,0,-8,-23,-9,-9,-12,-15,-14,-14,-11,
-22,-9,-5,-6,-7,-8,-9,-8,-9,-9,-9,-8,-9,-9,-1,-18,0,-10,-19,-9,-9,-12,-13,-8,-11,-13,-8,5,-21,-3,-8,-14,-6,-14,-13,-14,-15,-15,-12,
-22,-8,-5,-6,-8,-8,-9,-8,-9,-9,-8,-9,-9,-10,3,-19,1,-9,-20,-7,-10,-12,-14,-9,-12,-14,-13,0,-18,-9,-8,-9,-4,-15,-11,-12,-11,-14,-13,
-22,-6,-6,-6,-8,-9,-9,-7,-9,-9,-8,-9,-9,-13,6,-19,0,-8,-21,-6,-11,-11,-15,-9,-13,-14,-20,-7,-12,-13,-8,-6,-4,-16,-11,-11,-10,-11,-12,
-22,-6,-7,-5,-7,-9,-9,-8,-10,-10,-8,-9,-9,-17,7,-20,0,-7,-19,-4,-13,-11,-15,-10,-12,-15,-21,-15,-6,-16,-10,-5,-7,-16,-10,-9,-10,-7,-10,
-22,-5,-7,-5,-7,-9,-8,-8,-9,-9,-8,-9,-9,-20,6,-19,-2,-7,-16,-3,-15,-12,-13,-10,-11,-14,-23,-23,-1,-15,-10,-4,-13,-13,-9,-9,-15,-6,-9,
-23,-5,-7,-4,-7,-9,-8,-8,-9,-10,-8,-9,-10,-24,0,-15,-3,-8,-11,-5,-16,-11,-11,-12,-10,-14,-19,-23,0,-16,-16,-4,-17,-11,-6,-6,-14,-9,-10,
-23,-4,-7,-5,-7,-10,-8,-8,-9,-10,-8,-9,-10,-31,-3,-10,-5,-10,-6,-7,-17,-10,-10,-13,-10,-13,-23,-17,-2,-16,-16,-1,-17,-9,-9,-6,-15,-11,-9,
-24,-4,-7,-4,-7,-10,-7,-9,-9,-10,-8,-9,-10,-42,-1,-6,-8,-11,-5,-9,-13,-10,-9,-13,-10,-12,-33,-8,-5,-14,-13,-2,-17,-5,-13,-8,-13,-11,-7,
-25,-4,-7,-4,-7,-9,-8,-9,-9,-10,-9,-9,-10,-49,-1,-4,-10,-10,-4,-11,-10,-11,-8,-13,-10,-10,-33,-7,-7,-15,-9,-6,-14,-3,-13,-9,-9,-13,-7,
-25,-5,-7,-4,-8,-9,-8,-9,-9,-9,-9,-9,-10,-54,-2,-4,-12,-9,-2,-11,-8,-11,-8,-13,-11,-9,-27,-7,-9,-17,-7,-11,-11,-4,-12,-12,-6,-13,-8,
-28,-4,-6,-4,-8,-8,-8,-9,-9,-9,-9,-9,-10,-56,-2,-5,-15,-9,-2,-11,-7,-11,-7,-13,-11,-7,-15,-9,-15,-18,-6,-15,-8,-6,-10,-13,-9,-11,-8,
